bin	gtdb.r226	midas4.8	midas4.8_top_iden	midas5.3	midas5.3_top_iden
039-SE-29.bin.1.161	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp016708875	FLASV1226.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_1226;	99.9	FLASV1226.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_1226;	99.9
040-UK-14.bin.1.328	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV424.1431;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_424;	100	FLASV424.1431;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_424;	100
040-UK-14.bin.2.357	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp963169325	FLASV1409.1447;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_1409;	99.7	FLASV1409.1447;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_1409;	99.7
041-UK2-07.bin.1.49	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV32030.1338;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_21593;	100	FLASV32030.1338;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_21593;	100
041-UK2-07.bin.1.70	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV424.1431;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_424;	100	FLASV424.1431;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_424;	100
041-UK2-07.bin.1.81	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp029561355	FLASV4084.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_4084;	100	FLASV4084.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_4084;	100
041-UK2-07.bin.2.157	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV21593.1338;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_21593;	100	FLASV21593.1338;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_21593;	100
042-US1-105.bin.1.14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp020160935	FLASV10348.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_9712;	100	FLASV10348.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_9712;	100
043-US1-27.bin.1.273	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp016787285	FLASV25576.1352;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_13530;	99.9	FLASV25576.1352;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_13530;	99.9
043-US1-27.bin.1.320	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV5902.1433;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_5902;	99.9	FLASV5902.1433;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_5902;	99.9
043-US1-27.bin.1.559	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp963169325	FLASV3650.1447;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_1409;	99.8	FLASV3650.1447;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_1409;	99.8
043-US1-27.bin.2.123	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp017303475	FLASV13139.1338;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_13139;	100	FLASV13139.1338;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_13139;	100
044-US1-41.bin.1.133	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV23845.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_4084;	99.9	FLASV23845.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_4084;	99.9
045-US1-87.bin.1.205	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp017303475	FLASV13139.1338;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_13139;	100	FLASV13139.1338;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_13139;	100
045-US1-87.bin.1.513	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp020160935	FLASV10348.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_9712;	99.9	FLASV10348.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_9712;	99.9
048-UY-15.bin.1.187	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp020160935	FLASV10348.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_9712;	99.9	FLASV10348.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_9712;	99.9
048-UY-15.bin.1.312	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV1535.1431;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_1535;	99.4	FLASV1535.1431;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_1535;	99.4
050-BE-09.bin.1.111	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp016708875	FLASV1226.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_1226;	100	FLASV1226.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_1226;	100
050-BE-09.bin.1.608	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp016711435	FLASV3598.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_1129;	99.9	FLASV3598.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_1129;	99.9
052-CH-10.bin.1.108	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV424.1431;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_424;	100	FLASV424.1431;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_424;	100
052-CH-10.bin.1.149	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp029561355	FLASV4084.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_4084;	100	FLASV4084.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_4084;	100
052-CH-10.bin.1.161	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp016711435	FLASV779.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_729;	99.9	FLASV779.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_729;	99.9
052-CH-10.bin.1.188	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp020847425	FLASV2972.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_729;	99.9	FLASV2972.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_729;	99.9
053-PL-24.bin.1.185	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp029561355	FLASV4084.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_4084;	100	FLASV4084.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_4084;	100
053-PL-24.bin.1.457	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV424.1431;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_424;	100	FLASV424.1431;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_424;	100
053-PL-24.bin.2.348	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV4566.1432;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_4566;	100	FLASV4566.1432;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_4566;	100
054-AR-04.bin.1.242	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV83859.1341;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_83859;	98.8	FLASV83859.1341;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_83859;	98.8
058-AR-20.bin.1.52	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp020160935	FLASV9712.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_9712;	100	FLASV9712.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_9712;	100
060-AU-05.bin.1.1024	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp020160935	FLASV10348.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_9712;	100	FLASV10348.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_9712;	100
060-AU-05.bin.1.1081	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV2972.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_729;	99.4	FLASV2972.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_729;	99.4
060-AU-05.bin.1.266	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV1409.1447;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_1409;	98.8	FLASV1409.1447;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_1409;	98.8
060-AU-05.bin.1.397	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV6316.1435;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_4336;	99.4	FLASV6316.1435;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_4336;	99.4
060-AU-05.bin.1.415	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV13530.1352;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_13530;	100	FLASV13530.1352;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_13530;	100
060-AU-05.bin.2.32	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV6643.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_6643;	99.1	FLASV6643.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_6643;	99.1
062-AU-26.bin.1.192	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV5667.1431;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_2816;	100	FLASV5667.1431;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_2816;	100
063-AU-32.bin.1.68	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp020160935	FLASV10348.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_9712;	99.9	FLASV10348.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_9712;	99.9
063-AU-32.bin.c.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp963169325	FLASV1409.1447;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_1409;	99.9	FLASV1409.1447;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_1409;	99.9
064-CA-01.bin.1.275	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp029561355	FLASV4084.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_4084;	99.9	FLASV4084.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_4084;	99.9
065-CA-03.bin.1.168	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV424.1431;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_424;	100	FLASV424.1431;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_424;	100
065-CA-03.bin.2.308	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp016711435	FLASV1129.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_1129;	99.9	FLASV1129.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_1129;	99.9
066-CH-22.bin.1.244	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp029561355	FLASV4084.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_4084;	99.9	FLASV4084.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_4084;	99.9
066-CH-22.bin.1.350	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp020847425	FLASV2972.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_729;	100	FLASV2972.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_729;	100
066-CH-22.bin.2.373	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp016711435	FLASV779.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_729;	99.9	FLASV779.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_729;	99.9
066-CH-22.bin.2.403	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV424.1431;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_424;	100	FLASV424.1431;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_424;	100
066-CH-22.bin.c.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV47456.1336;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_21593;	100	FLASV47456.1336;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1226,s:midas_s_21593;	100
067-CH-23.bin.1.134	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp029561355	FLASV4084.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_4084;	100	FLASV4084.1434;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_4084;	100
067-CH-23.bin.1.218	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV11893.1337;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_11893;	100	FLASV11893.1337;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_11893;	100
067-CH-23.bin.1.77	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV37881.1339;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_20357;	100	FLASV37881.1339;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_20357;	100
071-HK-01.bin.1.123	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp020160935	FLASV9712.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_9712;	100	FLASV9712.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_9712;	100
071-HK-01.bin.1.56	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV3826.1433;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_3826;	99.2	FLASV3826.1433;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_424,s:midas_s_3826;	99.2
072-HK-05.bin.1.250	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV6643.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_6643;	96	FLASV6643.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_6643;	96
072-HK-05.bin.1.310	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp020160935	FLASV10348.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_9712;	100	FLASV10348.1340;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_729,s:midas_s_9712;	100
073-IL-01.bin.1.360	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV26586.1352;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_13530;	99.8	FLASV26586.1352;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_13530;	99.8
076-IN-18.bin.1.252	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV36971.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_36971;	100	FLASV36971.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_36971;	100
086-SA-02.bin.1.12	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV21140.1352;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_21140;	99.9	FLASV21140.1352;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_21140;	99.9
087-SA-04.bin.1.373	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	FLASV15606.1355;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_15606;	100	FLASV15606.1355;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1409,s:midas_s_15606;	100
