MAG	MiDAS4_tax	MiDAS_core_species	Exopolysaccharide	Query	Function	Target_CDS	Percent_id
Bjer_18-Q3-R1-45_BATAC.458	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_4982;	No	Cellulose 2	bcsABII-A	Synthase	Bjer_18-Q3-R1-45_BATAC.458_00263	28.778
Bjer_18-Q3-R1-45_BATAC.458	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_4982;	No	Cellulose 2	bcsCII	Export	Bjer_18-Q3-R1-45_BATAC.458_00261	21.254
Bjer_18-Q3-R1-45_BATAC.458	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_4982;	No	Cellulose 2	bcsABII-A	Synthase	Bjer_18-Q3-R1-45_BATAC.458_01831	46.154
Bjer_18-Q3-R1-45_BATAC.458	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_4982;	No	Cellulose 2	bcsCII	Export	Bjer_18-Q3-R1-45_BATAC.458_01836	23.518
Bjer_18-Q3-R1-45_BATAC.458	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_4982;	No	Cellulose 1	bcsAI	Synthase	Bjer_18-Q3-R1-45_BATAC.458_00257	43.357
Bjer_18-Q3-R1-45_BATAC.458	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_4982;	No	Cellulose 1	bcsBI	Synthase	Bjer_18-Q3-R1-45_BATAC.458_00263	29.96
Bjer_18-Q3-R1-45_BATAC.458	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_4982;	No	Cellulose 1	bcsCI	Export	Bjer_18-Q3-R1-45_BATAC.458_00261	21.675
Bjer_18-Q3-R1-45_BATAC.458	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_4982;	No	Cellulose 1	cmc	Hydrolase	Bjer_18-Q3-R1-45_BATAC.458_00262	27.187
Bjer_18-Q3-R1-45_BATAC.458	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_4982;	No	Cellulose 1	bcsAI	Synthase	Bjer_18-Q3-R1-45_BATAC.458_01831	45.664
Bjer_18-Q3-R1-45_BATAC.458	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_4982;	No	Cellulose 1	bcsCI	Export	Bjer_18-Q3-R1-45_BATAC.458_01836	22.064
Bjer_18-Q3-R1-45_BATAC.458	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_4982;	No	Cellulose 1	bcsCI	Export	Bjer_18-Q3-R1-45_BATAC.458_01837	20.27
Bjer_18-Q3-R1-45_BATAC.569	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Limnohabitans;	No	Pel	pelA	Hydrolase	Bjer_18-Q3-R1-45_BATAC.569_03894	34.084
Bjer_18-Q3-R1-45_BATAC.569	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Limnohabitans;	No	Pel	pelB	Export	Bjer_18-Q3-R1-45_BATAC.569_03892	22.176
Bjer_18-Q3-R1-45_BATAC.569	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Limnohabitans;	No	Pel	pelB	Export	Bjer_18-Q3-R1-45_BATAC.569_03893	21.377
Bjer_18-Q3-R1-45_BATAC.569	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Limnohabitans;	No	Pel	pelC	Export	Bjer_18-Q3-R1-45_BATAC.569_03891	42.604
Bjer_18-Q3-R1-45_BATAC.569	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Limnohabitans;	No	Pel	pelD	Regulatory	Bjer_18-Q3-R1-45_BATAC.569_03890	29.909
Bjer_18-Q3-R1-45_BATAC.569	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Limnohabitans;	No	Pel	pelE	Polymerization	Bjer_18-Q3-R1-45_BATAC.569_03888	30.833
Bjer_18-Q3-R1-45_BATAC.569	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Limnohabitans;	No	Pel	pelF	Synthase	Bjer_18-Q3-R1-45_BATAC.569_03887	51.594
Bjer_18-Q3-R1-45_BATAC.569	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Limnohabitans;	No	Pel	pelG	Export	Bjer_18-Q3-R1-45_BATAC.569_03886	48.246
Bjer_18-Q3-R1-45_MAXAC.014	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Sulfuritalea;s:Sulfuritalea_hydrogenivorans;	Loose core	PNAG_pga	pgaA	Export	Bjer_18-Q3-R1-45_MAXAC.014_03044	27.411
Bjer_18-Q3-R1-45_MAXAC.014	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Sulfuritalea;s:Sulfuritalea_hydrogenivorans;	Loose core	PNAG_pga	pgaB	Modification	Bjer_18-Q3-R1-45_MAXAC.014_03045	37.158
Bjer_18-Q3-R1-45_MAXAC.014	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Sulfuritalea;s:Sulfuritalea_hydrogenivorans;	Loose core	PNAG_pga	pgaC	Synthase	Bjer_18-Q3-R1-45_MAXAC.014_03046	44.828
Bjer_18-Q3-R1-45_MAXAC.014	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Sulfuritalea;s:Sulfuritalea_hydrogenivorans;	Loose core	PNAG_pga	pgaC	Synthase	Bjer_18-Q3-R1-45_MAXAC.014_03047	52.157
Bjer_18-Q3-R1-45_MAXAC.141	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;	No	Pel	pelA	Hydrolase	Bjer_18-Q3-R1-45_MAXAC.141_01018	33.838
Bjer_18-Q3-R1-45_MAXAC.141	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;	No	Pel	pelB	Export	Bjer_18-Q3-R1-45_MAXAC.141_01016	21.812
Bjer_18-Q3-R1-45_MAXAC.141	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;	No	Pel	pelB	Export	Bjer_18-Q3-R1-45_MAXAC.141_01017	21.455
Bjer_18-Q3-R1-45_MAXAC.141	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;	No	Pel	pelC	Export	Bjer_18-Q3-R1-45_MAXAC.141_01015	40.805
Bjer_18-Q3-R1-45_MAXAC.141	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;	No	Pel	pelD	Regulatory	Bjer_18-Q3-R1-45_MAXAC.141_01013	22.449
Bjer_18-Q3-R1-45_MAXAC.141	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;	No	Pel	pelD	Regulatory	Bjer_18-Q3-R1-45_MAXAC.141_01014	34.643
Bjer_18-Q3-R1-45_MAXAC.141	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;	No	Pel	pelE	Polymerization	Bjer_18-Q3-R1-45_MAXAC.141_01012	28.228
Bjer_18-Q3-R1-45_MAXAC.141	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;	No	Pel	pelF	Synthase	Bjer_18-Q3-R1-45_MAXAC.141_01011	50
Bjer_18-Q3-R1-45_MAXAC.141	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;	No	Pel	pelG	Export	Bjer_18-Q3-R1-45_MAXAC.141_01010	47.807
Damh_18-Q3-R51-60_BATAC.300	d:Bacteria;p:Bacteroidota;c:SJA-28;o:midas_o_31;f:midas_f_31;g:midas_g_31;s:midas_s_31;	CRAT	PNAG_eps	epsH	Glycosyl transferase	Damh_18-Q3-R51-60_BATAC.300_01271	23.902
Damh_18-Q3-R51-60_BATAC.300	d:Bacteria;p:Bacteroidota;c:SJA-28;o:midas_o_31;f:midas_f_31;g:midas_g_31;s:midas_s_31;	CRAT	PNAG_eps	epsJ	Glycosyl transferase	Damh_18-Q3-R51-60_BATAC.300_01274	22.124
Damh_18-Q3-R51-60_BATAC.300	d:Bacteria;p:Bacteroidota;c:SJA-28;o:midas_o_31;f:midas_f_31;g:midas_g_31;s:midas_s_31;	CRAT	PNAG_eps	epsJ	Glycosyl transferase	Damh_18-Q3-R51-60_BATAC.300_01276	24.017
Damh_18-Q3-R51-60_BATAC.300	d:Bacteria;p:Bacteroidota;c:SJA-28;o:midas_o_31;f:midas_f_31;g:midas_g_31;s:midas_s_31;	CRAT	PNAG_eps	epsK	Export	Damh_18-Q3-R51-60_BATAC.300_01270	23.936
Damh_18-Q3-R51-60_MAXAC.210	d:Bacteria;p:Elusimicrobiota;c:Elusimicrobia;o:MVP-88;f:midas_f_595;g:midas_g_595;s:midas_s_595;	No	Cellulose 1	bcsAI	Synthase	Damh_18-Q3-R51-60_MAXAC.210_02125	24.747
Damh_18-Q3-R51-60_MAXAC.210	d:Bacteria;p:Elusimicrobiota;c:Elusimicrobia;o:MVP-88;f:midas_f_595;g:midas_g_595;s:midas_s_595;	No	Cellulose 1	bcsCI	Export	Damh_18-Q3-R51-60_MAXAC.210_02119	20.939
Ega_18-Q3-R5-49_BATAC.213	d:Bacteria;p:Bacteroidota;c:SJA-28;o:midas_o_31;f:midas_f_31;g:midas_g_31;s:midas_s_31;	CRAT	PNAG_eps	epsH	Glycosyl transferase	Ega_18-Q3-R5-49_BATAC.213_03019	23.902
Ega_18-Q3-R5-49_BATAC.213	d:Bacteria;p:Bacteroidota;c:SJA-28;o:midas_o_31;f:midas_f_31;g:midas_g_31;s:midas_s_31;	CRAT	PNAG_eps	epsJ	Glycosyl transferase	Ega_18-Q3-R5-49_BATAC.213_03021	22.124
Ega_18-Q3-R5-49_BATAC.213	d:Bacteria;p:Bacteroidota;c:SJA-28;o:midas_o_31;f:midas_f_31;g:midas_g_31;s:midas_s_31;	CRAT	PNAG_eps	epsJ	Glycosyl transferase	Ega_18-Q3-R5-49_BATAC.213_03022	21.196
Ega_18-Q3-R5-49_BATAC.213	d:Bacteria;p:Bacteroidota;c:SJA-28;o:midas_o_31;f:midas_f_31;g:midas_g_31;s:midas_s_31;	CRAT	PNAG_eps	epsJ	Glycosyl transferase	Ega_18-Q3-R5-49_BATAC.213_03023	24.017
Ega_18-Q3-R5-49_BATAC.213	d:Bacteria;p:Bacteroidota;c:SJA-28;o:midas_o_31;f:midas_f_31;g:midas_g_31;s:midas_s_31;	CRAT	PNAG_eps	epsK	Export	Ega_18-Q3-R5-49_BATAC.213_03018	23.404
Ega_18-Q3-R5-49_BATAC.333	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_306;	No	Pel	pelA	Hydrolase	Ega_18-Q3-R5-49_BATAC.333_03018	38.074
Ega_18-Q3-R5-49_BATAC.333	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_306;	No	Pel	pelB	Export	Ega_18-Q3-R5-49_BATAC.333_03017	21.567
Ega_18-Q3-R5-49_BATAC.333	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_306;	No	Pel	pelC	Export	Ega_18-Q3-R5-49_BATAC.333_03016	42.857
Ega_18-Q3-R5-49_BATAC.333	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_306;	No	Pel	pelD	Regulatory	Ega_18-Q3-R5-49_BATAC.333_03015	32.212
Ega_18-Q3-R5-49_BATAC.333	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_306;	No	Pel	pelE	Polymerization	Ega_18-Q3-R5-49_BATAC.333_03014	28.107
Ega_18-Q3-R5-49_BATAC.333	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_306;	No	Pel	pelF	Synthase	Ega_18-Q3-R5-49_BATAC.333_03013	49.409
Ega_18-Q3-R5-49_BATAC.333	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_306;	No	Pel	pelG	Export	Ega_18-Q3-R5-49_BATAC.333_03012	52.412
Ega_18-Q3-R5-49_MAXAC.071	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Propionivibrio;s:Ca_Propionivibrio_aalborgensis;	CRAT	Pel	pelA	Hydrolase	Ega_18-Q3-R5-49_MAXAC.071_00608	41.452
Ega_18-Q3-R5-49_MAXAC.071	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Propionivibrio;s:Ca_Propionivibrio_aalborgensis;	CRAT	Pel	pelA	Hydrolase	Ega_18-Q3-R5-49_MAXAC.071_00609	32.907
Ega_18-Q3-R5-49_MAXAC.071	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Propionivibrio;s:Ca_Propionivibrio_aalborgensis;	CRAT	Pel	pelB	Export	Ega_18-Q3-R5-49_MAXAC.071_00606	21.239
Ega_18-Q3-R5-49_MAXAC.071	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Propionivibrio;s:Ca_Propionivibrio_aalborgensis;	CRAT	Pel	pelC	Export	Ega_18-Q3-R5-49_MAXAC.071_00605	44.379
Ega_18-Q3-R5-49_MAXAC.071	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Propionivibrio;s:Ca_Propionivibrio_aalborgensis;	CRAT	Pel	pelD	Regulatory	Ega_18-Q3-R5-49_MAXAC.071_00604	31.567
Ega_18-Q3-R5-49_MAXAC.071	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Propionivibrio;s:Ca_Propionivibrio_aalborgensis;	CRAT	Pel	pelE	Polymerization	Ega_18-Q3-R5-49_MAXAC.071_00603	28.869
Ega_18-Q3-R5-49_MAXAC.071	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Propionivibrio;s:Ca_Propionivibrio_aalborgensis;	CRAT	Pel	pelF	Synthase	Ega_18-Q3-R5-49_MAXAC.071_00602	53.557
Ega_18-Q3-R5-49_MAXAC.071	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Propionivibrio;s:Ca_Propionivibrio_aalborgensis;	CRAT	Pel	pelG	Export	Ega_18-Q3-R5-49_MAXAC.071_00601	54.725
Ega_18-Q3-R5-49_MAXAC.112v2	d:Bacteria;p:Planctomycetota;c:Brocadiae;o:Brocadiales;f:Brocadiaceae;g:Ca_Brocadia;	No	Cellulose 1	bcsAI	Synthase	Ega_18-Q3-R5-49_MAXAC.112v2_00815	26.656
Ega_18-Q3-R5-49_MAXAC.112v2	d:Bacteria;p:Planctomycetota;c:Brocadiae;o:Brocadiales;f:Brocadiaceae;g:Ca_Brocadia;	No	Cellulose 1	cmc	Hydrolase	Ega_18-Q3-R5-49_MAXAC.112v2_00817	20.645
Ega_18-Q3-R5-49_MAXAC.199	d:Bacteria;p:Elusimicrobiota;c:Elusimicrobia;o:MVP-88;f:midas_f_595;g:midas_g_595;s:midas_s_595;	No	Cellulose 1	bcsAI	Synthase	Ega_18-Q3-R5-49_MAXAC.199_02055	24.747
Ega_18-Q3-R5-49_MAXAC.199	d:Bacteria;p:Elusimicrobiota;c:Elusimicrobia;o:MVP-88;f:midas_f_595;g:midas_g_595;s:midas_s_595;	No	Cellulose 1	bcsCI	Export	Ega_18-Q3-R5-49_MAXAC.199_02061	20.939
Ejby_18-Q3-R6-50_BAT3C.203	d:Bacteria;p:Actinobacteriota;c:Actinobacteria;o:Micrococcales;f:Dermatophilaceae;g:midas_g_724;s:midas_s_724;	No	Hyaluronic acid (has)	hasA	Synthase	Ejby_18-Q3-R6-50_BAT3C.203_00344	24.823
Ejby_18-Q3-R6-50_BAT3C.203	d:Bacteria;p:Actinobacteriota;c:Actinobacteria;o:Micrococcales;f:Dermatophilaceae;g:midas_g_724;s:midas_s_724;	No	Hyaluronic acid (has)	hasB	Precursor synthesis	Ejby_18-Q3-R6-50_BAT3C.203_00331	20.423
Ejby_18-Q3-R6-50_BAT3C.203	d:Bacteria;p:Actinobacteriota;c:Actinobacteria;o:Micrococcales;f:Dermatophilaceae;g:midas_g_724;s:midas_s_724;	No	Hyaluronic acid (has)	hasC	Precursor synthesis	Ejby_18-Q3-R6-50_BAT3C.203_00337	22.932
Ejby_18-Q3-R6-50_BATAC.207	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:SC-I-84;g:midas_g_1341;	No	Cellulose 1	bcsAI	Synthase	Ejby_18-Q3-R6-50_BATAC.207_00712	20.675
Ejby_18-Q3-R6-50_BATAC.207	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:SC-I-84;g:midas_g_1341;	No	Cellulose 1	bcsCI	Export	Ejby_18-Q3-R6-50_BATAC.207_00710	20.209
Ejby_18-Q3-R6-50_MAXAC.192	d:Bacteria;p:Elusimicrobiota;c:Elusimicrobia;o:MVP-88;f:midas_f_595;g:midas_g_595;s:midas_s_595;	No	Cellulose 1	bcsAI	Synthase	Ejby_18-Q3-R6-50_MAXAC.192_01360	24.747
Ejby_18-Q3-R6-50_MAXAC.192	d:Bacteria;p:Elusimicrobiota;c:Elusimicrobia;o:MVP-88;f:midas_f_595;g:midas_g_595;s:midas_s_595;	No	Cellulose 1	bcsCI	Export	Ejby_18-Q3-R6-50_MAXAC.192_01354	20.939
EsbE_18-Q3-R3-47_BAT3C.110	d:Bacteria;p:Desulfobacterota;c:Syntrophia;o:Syntrophales;f:midas_f_134;g:midas_g_134;s:midas_s_1266;	No	PNAG_pga	pgaA	Export	EsbE_18-Q3-R3-47_BAT3C.110_02223	20.295
EsbE_18-Q3-R3-47_BAT3C.110	d:Bacteria;p:Desulfobacterota;c:Syntrophia;o:Syntrophales;f:midas_f_134;g:midas_g_134;s:midas_s_1266;	No	PNAG_pga	pgaB	Modification	EsbE_18-Q3-R3-47_BAT3C.110_02224	33.758
EsbE_18-Q3-R3-47_BAT3C.110	d:Bacteria;p:Desulfobacterota;c:Syntrophia;o:Syntrophales;f:midas_f_134;g:midas_g_134;s:midas_s_1266;	No	PNAG_pga	pgaC	Synthase	EsbE_18-Q3-R3-47_BAT3C.110_02225	44.316
EsbE_18-Q3-R3-47_BAT3C.140	d:Archaea;p:Halobacterota;c:Methanosarcinia;o:Methanosarciniales;f:Methanosaetaceae;g:Methanothrix;	No	Hyaluronic acid (has)	hasA	Synthase	EsbE_18-Q3-R3-47_BAT3C.140_00274	22.115
EsbE_18-Q3-R3-47_BAT3C.140	d:Archaea;p:Halobacterota;c:Methanosarcinia;o:Methanosarciniales;f:Methanosaetaceae;g:Methanothrix;	No	Hyaluronic acid (has)	hasB	Precursor synthesis	EsbE_18-Q3-R3-47_BAT3C.140_00266	23.306
EsbE_18-Q3-R3-47_BAT3C.140	d:Archaea;p:Halobacterota;c:Methanosarcinia;o:Methanosarciniales;f:Methanosaetaceae;g:Methanothrix;	No	Hyaluronic acid (has)	hasC	Precursor synthesis	EsbE_18-Q3-R3-47_BAT3C.140_00262	22.727
EsbE_18-Q3-R3-47_BAT3C.140	d:Archaea;p:Halobacterota;c:Methanosarcinia;o:Methanosarciniales;f:Methanosaetaceae;g:Methanothrix;	No	Hyaluronic acid (has)	hasC	Precursor synthesis	EsbE_18-Q3-R3-47_BAT3C.140_00270	23.022
EsbE_18-Q3-R3-47_BAT3C.140	d:Archaea;p:Halobacterota;c:Methanosarcinia;o:Methanosarciniales;f:Methanosaetaceae;g:Methanothrix;	No	Hyaluronic acid (has)	hasC	Precursor synthesis	EsbE_18-Q3-R3-47_BAT3C.140_00281	26.415
EsbE_18-Q3-R3-47_BATAC.167	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:A21b;g:midas_g_454;s:midas_s_454;	No	Cellulose 1	bcsAI	Synthase	EsbE_18-Q3-R3-47_BATAC.167_02164	20.779
EsbE_18-Q3-R3-47_BATAC.167	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:A21b;g:midas_g_454;s:midas_s_454;	No	Cellulose 1	bcsCI	Export	EsbE_18-Q3-R3-47_BATAC.167_02168	20.678
EsbE_18-Q3-R3-47_BATAC.309	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelA	Hydrolase	EsbE_18-Q3-R3-47_BATAC.309_03089	27.404
EsbE_18-Q3-R3-47_BATAC.309	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelB	Export	EsbE_18-Q3-R3-47_BATAC.309_03094	21.069
EsbE_18-Q3-R3-47_BATAC.309	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelC	Export	EsbE_18-Q3-R3-47_BATAC.309_03096	33.333
EsbE_18-Q3-R3-47_BATAC.309	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelC	Export	EsbE_18-Q3-R3-47_BATAC.309_03097	44.444
EsbE_18-Q3-R3-47_BATAC.309	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelD	Regulatory	EsbE_18-Q3-R3-47_BATAC.309_03098	29.748
EsbE_18-Q3-R3-47_BATAC.309	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelE	Polymerization	EsbE_18-Q3-R3-47_BATAC.309_03100	37.368
EsbE_18-Q3-R3-47_BATAC.309	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelE	Polymerization	EsbE_18-Q3-R3-47_BATAC.309_03101	26.087
EsbE_18-Q3-R3-47_BATAC.309	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelF	Synthase	EsbE_18-Q3-R3-47_BATAC.309_03102	51.703
EsbE_18-Q3-R3-47_BATAC.309	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelG	Export	EsbE_18-Q3-R3-47_BATAC.309_03103	52.527
EsbE_18-Q3-R3-47_BATAC.414	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_38;	No	Pel	pelA	Hydrolase	EsbE_18-Q3-R3-47_BATAC.414_03363	37.199
EsbE_18-Q3-R3-47_BATAC.414	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_38;	No	Pel	pelB	Export	EsbE_18-Q3-R3-47_BATAC.414_03364	21.069
EsbE_18-Q3-R3-47_BATAC.414	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_38;	No	Pel	pelC	Export	EsbE_18-Q3-R3-47_BATAC.414_03365	43.452
EsbE_18-Q3-R3-47_BATAC.414	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_38;	No	Pel	pelD	Regulatory	EsbE_18-Q3-R3-47_BATAC.414_03366	31.731
EsbE_18-Q3-R3-47_BATAC.414	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_38;	No	Pel	pelE	Polymerization	EsbE_18-Q3-R3-47_BATAC.414_03367	27.811
EsbE_18-Q3-R3-47_BATAC.414	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_38;	No	Pel	pelF	Synthase	EsbE_18-Q3-R3-47_BATAC.414_03368	47.577
EsbE_18-Q3-R3-47_BATAC.414	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_38;	No	Pel	pelG	Export	EsbE_18-Q3-R3-47_BATAC.414_03370	52.412
EsbE_18-Q3-R3-47_MAXAC.131	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Propionivibrio;s:midas_s_421;	CRAT	Pel	pelA	Hydrolase	EsbE_18-Q3-R3-47_MAXAC.131_01209	38.578
EsbE_18-Q3-R3-47_MAXAC.131	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Propionivibrio;s:midas_s_421;	CRAT	Pel	pelB	Export	EsbE_18-Q3-R3-47_MAXAC.131_01208	21.04
