genome_id	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc	Category	n_Category	OLD_gtdb_classification	gtdbtk_organism_name	ncbi_organism_name	Contamination (%)	Completeness (%)	cluster95	Database	Domain	Phylum	Class	Order	Family	Genus	Species	MiDAS_classification	HQ	shared_name
GUT_GENOME230721	GUT_GENOME230721_krakentaxid3001131HumGut_1131_270.region001	1	3296	49439	TRUE	Uncharacterised				kraken:taxid|3001131|HumGut_1131_270 GUT_GENOME230721_270	Uncharacterised	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii	s__Ruminococcus_E bromii	Ruminococcus bromii	1.68	92.62	79	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__Ruminococcus_E sp905215855			GUT_GENOME230721_krakentaxid3001131HumGut_1131_270.region001.gbk_region_1
GCF_015556425.1_ASM1555642v1_genomic	GCF_015556425.1_ASM1555642v1_genomic_krakentaxid3000465HumGut_465_8.region001	1	57540	75263	FALSE	pel-positive				kraken:taxid|3000465|HumGut_465_8 NZ_JADNMI010000017.1 Blautia wexlerae strain 1001713B170207_170306_B2 NODE_17_length_86476_cov_44.7718, whole genome shotgun sequence	Synthase	2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	g__Blautia_A	Blautia obeum A2-162	0.316455696202532	99.367088607595	47	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A wexlerae_B			GCF_015556425.1_ASM1555642v1_genomic_krakentaxid3000465HumGut_465_8.region001.gbk_region_1
GCF_011016125.1_ASM1101612v1_genomic	GCF_011016125.1_ASM1101612v1_genomic_krakentaxid3028735HumGut_28735_1.region001	1	79344	97130	FALSE	pel-positive				kraken:taxid|3028735|HumGut_28735_1 NZ_SWUJ01000001.1 Clostridium sporogenes strain IFR 18/015 contig00001, whole genome shotgun sequence	Synthase	2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_F;s__Clostridium_F sp001276215	s__Clostridium_F sp001276215	Clostridium sp. L74	0	100	4760	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_F	s__Clostridium_F sp001276215			GCF_011016125.1_ASM1101612v1_genomic_krakentaxid3028735HumGut_28735_1.region001.gbk_region_1
GUT_GENOME001892	GUT_GENOME001892_krakentaxid3018571HumGut_18571_33.region001	1	0	6887	TRUE	lactobacillus_eps				kraken:taxid|3018571|HumGut_18571_33 GUT_GENOME001892_33	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp900543065	s__Streptococcus sp900543065	uncultured Streptococcus sp.	0.37	75.23	2753	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus lactarius			GUT_GENOME001892_krakentaxid3018571HumGut_18571_33.region001.gbk_region_1
GCF_004353325.1_ASM435332v1_genomic	GCF_004353325.1_ASM435332v1_genomic_krakentaxid3015010HumGut_15010_3.region001	1	65808	88381	TRUE	Uncharacterised				kraken:taxid|3015010|HumGut_15010_3 NZ_MZNX01000002.1 Streptococcus sp. CECT 9732 contig_2, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp004353325	s__Streptococcus sp004353325	Streptococcus sp. CECT 9732	0.199203187250996	99.867197875166	2066	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus downii			GCF_004353325.1_ASM435332v1_genomic_krakentaxid3015010HumGut_15010_3.region001.gbk_region_1
GCF_002005545.1_ASM200554v1_genomic	GCF_002005545.1_ASM200554v1_genomic_krakentaxid3013529HumGut_13529_1.region001	1	65079	89633	FALSE	lactobacillus_eps				kraken:taxid|3013529|HumGut_13529_1 NZ_LBMT01000001.1 Streptococcus mitis strain 321A Scaffold1, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_I	s__Streptococcus mitis_I	Streptococcus mitis	0.199203187250996	99.867197875166	1790	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus mitis_I			GCF_002005545.1_ASM200554v1_genomic_krakentaxid3013529HumGut_13529_1.region001.gbk_region_1
GUT_GENOME083291	GUT_GENOME083291_krakentaxid3001570HumGut_1570_72.region001	1	2077	91287	TRUE	Uncharacterised				kraken:taxid|3001570|HumGut_1570_72 GUT_GENOME083291_72	Uncharacterised	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	s__Bacteroides fragilis	Bacteroides fragilis NCTC 9343	4.09	73	65	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis			GUT_GENOME083291_krakentaxid3001570HumGut_1570_72.region001.gbk_region_1
GCF_002355215.1_ASM235521v1_genomic	GCF_002355215.1_ASM235521v1_genomic_krakentaxid3021857HumGut_21857_1.region001	1	1018746	1037548	FALSE	alpha-glucansucrase				kraken:taxid|3021857|HumGut_21857_1 NZ_AP014612.1 Streptococcus troglodytae strain TKU 31	Sucrase	4	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus troglodytae	s__Streptococcus troglodytae	Streptococcus troglodytae	0.374531835205993	99.9130119608554	3499	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus troglodytae			GCF_002355215.1_ASM235521v1_genomic_krakentaxid3021857HumGut_21857_1.region001.gbk_region_1
GCF_004155535.1_ASM415553v1_genomic	GCF_004155535.1_ASM415553v1_genomic_krakentaxid3017197HumGut_17197_6.region001	1	142504	196983	FALSE	Uncharacterised				kraken:taxid|3017197|HumGut_17197_6 NZ_RYUH01000014.1 Bifidobacterium pseudolongum subsp. globosum strain 2093B Contig_14, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudolongum_C	s__Bifidobacterium pseudolongum_C	Bifidobacterium pseudolongum subsp. globosum	0.444444444444444	100	2465	HumGut	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium pseudolongum_C			GCF_004155535.1_ASM415553v1_genomic_krakentaxid3017197HumGut_17197_6.region001.gbk_region_1
GCF_004127215.1_ASM412721v1_genomic	GCF_004127215.1_ASM412721v1_genomic_krakentaxid3015914HumGut_15914_97.region001	1	153032	176333	TRUE	lactobacillus_eps				kraken:taxid|3015914|HumGut_15914_97 NZ_QEWJ01000002.1 Streptococcus oralis strain NU43 NODE_2_length_176333_cov_67.7593, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis_BD	s__Streptococcus oralis_BD	Streptococcus oralis	1.1569108182654	99.867197875166	2228	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus oralis_BD			GCF_004127215.1_ASM412721v1_genomic_krakentaxid3015914HumGut_15914_97.region001.gbk_region_1
GCF_001657905.1_ASM165790v1_genomic	GCF_001657905.1_ASM165790v1_genomic_krakentaxid3005969HumGut_5969_25.region001	1	0	20855	TRUE	lactobacillus_eps				kraken:taxid|3005969|HumGut_5969_25 NZ_LXZW01000025.1 Streptococcus vestibularis strain 22-04 S5 SAS501000025, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus vestibularis	s__Streptococcus vestibularis	Streptococcus vestibularis ATCC 49124	0.363901018922853	99.9636098981077	539	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus vestibularis			GCF_001657905.1_ASM165790v1_genomic_krakentaxid3005969HumGut_5969_25.region001.gbk_region_1
GUT_GENOME000921	GUT_GENOME000921_krakentaxid3009664HumGut_9664_9.region001	1	106065	122999	FALSE	cellulose-gram-positive				kraken:taxid|3009664|HumGut_9664_9 GUT_GENOME000921_9	Synthase	2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Clostridium_A;s__Clostridium_A leptum	s__Clostridium_A leptum	Clostridium leptum DSM 753	0.67	99.33	1210	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Clostridium_A	s__Clostridium_A leptum			GUT_GENOME000921_krakentaxid3009664HumGut_9664_9.region001.gbk_region_1
GUT_GENOME208620	GUT_GENOME208620_krakentaxid3004395HumGut_4395_14.region001	1	1534	18671	TRUE	pel-positive				kraken:taxid|3004395|HumGut_4395_14 GUT_GENOME208620_14	Synthase	2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_H	s__Faecalibacterium prausnitzii_H	Faecalibacterium prausnitzii	1.87	80.18	108	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium hattorii			GUT_GENOME208620_krakentaxid3004395HumGut_4395_14.region001.gbk_region_1
GCF_003943935.1_ASM394393v1_genomic	GCF_003943935.1_ASM394393v1_genomic_krakentaxid3015070HumGut_15070_3.region001	1	10284	43214	TRUE	lactobacillus_eps				kraken:taxid|3015070|HumGut_15070_3 NZ_RJOB01000003.1 Streptococcus mitis strain BCC45 D8842_contig003, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_BK	s__Streptococcus mitis_BK	Streptococcus mitis	0.239043824701195	99.867197875166	2080	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus mitis_BK			GCF_003943935.1_ASM394393v1_genomic_krakentaxid3015070HumGut_15070_3.region001.gbk_region_1
GUT_GENOME260041	GUT_GENOME260041_krakentaxid3014769HumGut_14769_6.region001	1	61620	100218	FALSE	Uncharacterised				kraken:taxid|3014769|HumGut_14769_6 GUT_GENOME260041_6	Uncharacterised	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides togonis	s__Bacteroides togonis	Bacteroides togonis	0.19	68.08	1274	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides pullorum			GUT_GENOME260041_krakentaxid3014769HumGut_14769_6.region001.gbk_region_1
GCF_003017225.1_ASM301722v1_genomic	GCF_003017225.1_ASM301722v1_genomic_krakentaxid3028850HumGut_28850_1.region001	1	122417	176929	FALSE	Uncharacterised				kraken:taxid|3028850|HumGut_28850_1 NZ_CP027779.1 Clostridium botulinum strain RF5 chromosome, complete genome	Uncharacterised	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_F;s__Clostridium_F botulinum_A	s__Clostridium_F botulinum_A	Clostridium botulinum	0	99.3103448275862	3389	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_F	s__Clostridium_F botulinum_A			GCF_003017225.1_ASM301722v1_genomic_krakentaxid3028850HumGut_28850_1.region001.gbk_region_1
GUT_GENOME080417	GUT_GENOME080417_krakentaxid3011991HumGut_11991_16.region001	1	77508	114731	FALSE	Uncharacterised				kraken:taxid|3011991|HumGut_11991_16 GUT_GENOME080417_16	Uncharacterised	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus	s__Bacteroides cellulosilyticus	Bacteroides cellulosilyticus DSM 14838	0.37	56.15	1546	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides cellulosilyticus			GUT_GENOME080417_krakentaxid3011991HumGut_11991_16.region001.gbk_region_1
GCF_000722835.1_ASM72283v1_genomic	GCF_000722835.1_ASM72283v1_genomic_krakentaxid3015203HumGut_15203_11.region001	1	9191	33833	TRUE	lactobacillus_eps				kraken:taxid|3015203|HumGut_15203_11 NZ_JPFS01000011.1 Streptococcus mitis strain SK137 gsmSK137.contig.10_1, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis	s__Streptococcus mitis	Streptococcus mitis NCTC 12261	0.398406374501992	99.1835687552819	1796	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sp905221285			GCF_000722835.1_ASM72283v1_genomic_krakentaxid3015203HumGut_15203_11.region001.gbk_region_1
GUT_GENOME095729	GUT_GENOME095729_krakentaxid3018756HumGut_18756_33.region001	1	0	5699	TRUE	Uncharacterised				kraken:taxid|3018756|HumGut_18756_33 GUT_GENOME095729_33	Uncharacterised	1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp900543065	s__Streptococcus sp900543065	uncultured Streptococcus sp.	0.58	53.12	1662	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus lactarius			GUT_GENOME095729_krakentaxid3018756HumGut_18756_33.region001.gbk_region_1
GUT_GENOME066569	GUT_GENOME066569_krakentaxid3008477HumGut_8477_6.region001	1	0	5999	TRUE	alpha-glucansucrase				kraken:taxid|3008477|HumGut_8477_6 GUT_GENOME066569_6	Sucrase	4	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius	s__Streptococcus salivarius	Streptococcus salivarius	1.25	60.03	1004	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus salivarius			GUT_GENOME066569_krakentaxid3008477HumGut_8477_6.region001.gbk_region_1
GUT_GENOME181659	GUT_GENOME181659_krakentaxid3012338HumGut_12338_106.region001	1	0	5465	TRUE	Uncharacterised				kraken:taxid|3012338|HumGut_12338_106 GUT_GENOME181659_106	Uncharacterised	1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus constellatus	s__Streptococcus constellatus	Streptococcus constellatus subsp. constellatus SK53	1.1	84.29	1601	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus constellatus			GUT_GENOME181659_krakentaxid3012338HumGut_12338_106.region001.gbk_region_1
GUT_GENOME096124	GUT_GENOME096124_krakentaxid3013356HumGut_13356_14.region001	1	76751	115156	TRUE	Uncharacterised				kraken:taxid|3013356|HumGut_13356_14 GUT_GENOME096124_14	Uncharacterised	1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Longicatena;s__Longicatena sp000165065	s__Longicatena sp000165065	Erysipelotrichaceae bacterium 3_1_53	0.94	99.96	1758	HumGut	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium_AQ	s__Clostridium_AQ sp000165065			GUT_GENOME096124_krakentaxid3013356HumGut_13356_14.region001.gbk_region_1
GCF_902460385.1_PRJEB33225_genomic	GCF_902460385.1_PRJEB33225_genomic_krakentaxid3017273HumGut_17273_7.region001	1	0	20429	TRUE	Uncharacterised				kraken:taxid|3017273|HumGut_17273_7 NZ_CABPTS010000007.1 Streptococcus sp. Marseille-P7376, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sinensis	s__Streptococcus sinensis	Streptococcus sinensis	0	100	2484	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sinensis			GCF_902460385.1_PRJEB33225_genomic_krakentaxid3017273HumGut_17273_7.region001.gbk_region_1
GCF_000741455.1_Bifthe_sub.the_genomic	GCF_000741455.1_Bifthe_sub.the_genomic_krakentaxid3019321HumGut_19321_7.region001	1	529393	584207	FALSE	Uncharacterised				kraken:taxid|3019321|HumGut_19321_7 NZ_JGZT01000007.1 Bifidobacterium thermacidophilum subsp. thermacidophilum strain LMG 21395 Contig7, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum	s__Bifidobacterium thermophilum	Bifidobacterium thermophilum DSM 20210	0.833333333333333	100	2692	HumGut	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium thermacidophilum			GCF_000741455.1_Bifthe_sub.the_genomic_krakentaxid3019321HumGut_19321_7.region001.gbk_region_1
GCF_902460355.1_P6264_genomic	GCF_902460355.1_P6264_genomic_krakentaxid3015547HumGut_15547_7.region001	1	0	17402	TRUE	lactobacillus_eps				kraken:taxid|3015547|HumGut_15547_7 NZ_CABPTO010000007.1 Streptococcus sp. Marseille-P6264, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	g__Streptococcus	Streptococcus oralis subsp. tigurinus AZ_3a	0	100	2154	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sp902460355			GCF_902460355.1_P6264_genomic_krakentaxid3015547HumGut_15547_7.region001.gbk_region_1
GUT_GENOME134185	GUT_GENOME134185_krakentaxid3006710HumGut_6710_559.region001	1	0	1962	TRUE	cellulose-like				kraken:taxid|3006710|HumGut_6710_559 GUT_GENOME134185_559	Synthase	2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia flexneri	s__Escherichia flexneri	Shigella flexneri 2a	0.84	54.58	219	HumGut	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli			GUT_GENOME134185_krakentaxid3006710HumGut_6710_559.region001.gbk_region_1
GCF_000831125.1_ASM83112v1_genomic	GCF_000831125.1_ASM83112v1_genomic_krakentaxid3015964HumGut_15964_1.region001	1	1255931	1276909	FALSE	Uncharacterised				kraken:taxid|3015964|HumGut_15964_1 NZ_CP007571.1 Streptococcus agalactiae strain GBS2-NM chromosome, complete genome	Uncharacterised	1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	s__Streptococcus agalactiae	Streptococcus agalactiae ATCC 13813	0.531914893617021	100	2238	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus agalactiae			GCF_000831125.1_ASM83112v1_genomic_krakentaxid3015964HumGut_15964_1.region001.gbk_region_1
GCF_003942885.1_ASM394288v1_genomic	GCF_003942885.1_ASM394288v1_genomic_krakentaxid3014575HumGut_14575_15.region001	1	23145	37325	TRUE	Uncharacterised				kraken:taxid|3014575|HumGut_14575_15 NZ_RJOC01000015.1 Streptococcus mitis strain BCC44 D8841_contig015, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_AC	s__Streptococcus mitis_AC	Streptococcus mitis	0.398406374501992	99.3827719425329	1750	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus mitis_CC			GCF_003942885.1_ASM394288v1_genomic_krakentaxid3014575HumGut_14575_15.region001.gbk_region_1
GUT_GENOME096972	GUT_GENOME096972_krakentaxid3001835HumGut_1835_45.region001	1	0	15515	TRUE	pel-positive				kraken:taxid|3001835|HumGut_1835_45 GUT_GENOME096972_45	Synthase	2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539945	s__Faecalibacterium sp900539945	uncultured Faecalibacterium sp.	1.79	59.82	27	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium sp900539945			GUT_GENOME096972_krakentaxid3001835HumGut_1835_45.region001.gbk_region_1
GCF_000257455.1_SoralisSK610v1.0_genomic	GCF_000257455.1_SoralisSK610v1.0_genomic_krakentaxid3016405HumGut_16405_25.region001	1	57520	82059	FALSE	lactobacillus_eps				kraken:taxid|3016405|HumGut_16405_25 NZ_AJKQ01000025.1 Streptococcus oralis SK610 contig00008, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis_BC	s__Streptococcus oralis_BC	Streptococcus oralis	0.199203187250996	99.867197875166	1934	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus oralis_CB			GCF_000257455.1_SoralisSK610v1.0_genomic_krakentaxid3016405HumGut_16405_25.region001.gbk_region_1
GCF_002860865.1_ASM286086v1_genomic	GCF_002860865.1_ASM286086v1_genomic_krakentaxid3013667HumGut_13667_12.region001	1	42426	75735	FALSE	lactobacillus_eps				kraken:taxid|3013667|HumGut_13667_12 NZ_PKIE01000002.1 Streptococcus mitis strain UMB1341 .21837_8_64.2, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_AT	s__Streptococcus mitis_AT	Streptococcus mitis	0.199203187250996	99.8173970783532	1820	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus mitis_AT			GCF_002860865.1_ASM286086v1_genomic_krakentaxid3013667HumGut_13667_12.region001.gbk_region_1
GCF_001811305.1_ASM181130v1_genomic	GCF_001811305.1_ASM181130v1_genomic_krakentaxid3015927HumGut_15927_44.region001	1	37134	62654	TRUE	lactobacillus_eps				kraken:taxid|3015927|HumGut_15927_44 NZ_KV804219.1 Streptococcus sp. HMSC056C01 Scaffold1163, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pseudopneumoniae_L	s__Streptococcus pseudopneumoniae_L	Streptococcus pseudopneumoniae	0	98.8712671509282	2230	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sp001811305			GCF_001811305.1_ASM181130v1_genomic_krakentaxid3015927HumGut_15927_44.region001.gbk_region_1
GUT_GENOME001545	GUT_GENOME001545_krakentaxid3011072HumGut_11072_2.region001	1	0	24813	TRUE	Uncharacterised				kraken:taxid|3011072|HumGut_11072_2 GUT_GENOME001545_2	Uncharacterised	1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	s__Streptococcus lutetiensis	Streptococcus lutetiensis	0.09	100	1415	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus lutetiensis			GUT_GENOME001545_krakentaxid3011072HumGut_11072_2.region001.gbk_region_1
GCF_009496385.1_ASM949638v1_genomic	GCF_009496385.1_ASM949638v1_genomic_krakentaxid3015489HumGut_15489_21.region001	1	229591	251708	TRUE	Uncharacterised				kraken:taxid|3015489|HumGut_15489_21 NZ_WIJZ01000003.1 Streptococcus mitis strain SM26 NODE_3_length_251708_cov_24.802600, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_Q	s__Streptococcus mitis_Q	Streptococcus mitis	0.404442834721719	99.4189907038513	1896	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus mitis_Q			GCF_009496385.1_ASM949638v1_genomic_krakentaxid3015489HumGut_15489_21.region001.gbk_region_1
GCF_007097645.1_ASM709764v1_genomic	GCF_007097645.1_ASM709764v1_genomic_krakentaxid3004167HumGut_4167_24.region001	1	349373	399325	FALSE	Uncharacterised				kraken:taxid|3004167|HumGut_4167_24 NZ_VJZU01000003.1 Bacteroides sp. HF-5092 Scaffold2_2, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp007097645	s__Bacteroides sp007097645	Bacteroides sp. HF-5092	3.23624595469256	99.3527508090615	286	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides luhongzhouii			GCF_007097645.1_ASM709764v1_genomic_krakentaxid3004167HumGut_4167_24.region001.gbk_region_1
GCF_000228205.1_SMUT2-NEX_2-349_genomic	GCF_000228205.1_SMUT2-NEX_2-349_genomic_krakentaxid3028636HumGut_28636_198.region001	1	0	1936	TRUE	alpha-glucansucrase				kraken:taxid|3028636|HumGut_28636_198 NZ_AGGW01000314.1 Streptococcus sobrinus TCI-349 contig00314, whole genome shotgun sequence	Sucrase	4	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus downei	s__Streptococcus downei	Streptococcus downei MFe28	2.82147315855181	99.0012484394507	3696	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus downei			GCF_000228205.1_SMUT2-NEX_2-349_genomic_krakentaxid3028636HumGut_28636_198.region001.gbk_region_1
