Bin_id,Contig_num,Genome_size (bp),N50 (bp),GC (%),Completeness (%),Contamination (%),Group,Estimated_genome_size (bp),Gene_number,Gene_length (bp),Average_gene_length (bp),Gene_GC (%),Coding_density (%),WD40,BGC,ARG,Cas,MGE,GTDB_taxonomy (v207)
OceanDNA-a1,83,536854,10029,32.97,69.78,0,OMD_OceanDNA,769352,629,450604,716.38,33.14,83.93,0,0,0,0,0,d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__GW2011-AR5;f__GCA-2688965;g__GCA-2688965;s__GCA-2688965 sp002688965
OceanDNA-b35479,58,1031845,28077,30.17,74.62,0,our_OMD_OceanDNA,1382800,1113,954848,857.9,30.48,92.54,0,1,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002705445;g__GCA-2705445;s__GCA-2705445 sp018674175
OceanDNA-b35493,122,978567,12076,30.3,74.99,0.69,OMD_OceanDNA,1295926,1084,867675,800.44,30.78,88.67,0,1,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002705445;g__GCA-2705445;s__
OceanDNA-b35533,171,718619,4815,31.04,58.76,0.57,OMD_OceanDNA,1216002,824,604182,733.23,31.3,84.08,0,1,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__CACLCV01;s__
OceanDNA-b35535,71,744434,13435,30.96,64.25,0.61,OceanDNA,1151584,848,683940,806.53,31.11,91.87,0,1,0,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__CACLCV01;s__
OceanDNA-b35546,91,729185,11779,32.7,63.71,0.48,OceanDNA,1139044,817,662284,810.63,32.84,90.83,0,1,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__CACLCV01;s__
OceanDNA-b35552,131,846835,8000,29.97,63.07,1.34,OceanDNA,1324699,928,748803,806.9,30.21,88.42,0,0,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__;s__
OceanDNA-b35553,195,603430,3297,31.44,59.12,0.86,OceanDNA,1011909,675,480898,712.44,31.62,79.69,0,1,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__GCA-2698665;s__
OceanDNA-b35554,231,641771,2921,31.6,51.29,0,OceanDNA,1251260,691,491448,711.21,31.72,76.58,0,1,0,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__GCA-2698665;s__
OceanDNA-b35555,168,709163,4789,31.4,61.13,0,OMD_OceanDNA,1160090,765,591923,773.76,31.65,83.47,0,1,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__GCA-2698665;s__
OceanDNA-b35602,72,1052278,24130,31.43,82.09,0.96,our_OceanDNA,1269553,1172,966619,824.76,31.6,91.86,0,1,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__GCA-2698665;s__
OceanDNA-b35608,63,1023481,24324,31.54,80.24,0.19,our_OMD_OceanDNA,1273101,1129,958885,849.32,31.74,93.69,0,1,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__GCA-2698665;s__GCA-2698665 sp018670435
OceanDNA-b35619,32,1052623,60010,31.54,83.24,0.19,our_OceanDNA,1262161,1179,1003698,851.31,31.71,95.35,0,0,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__GCA-2698665;s__GCA-2698665 sp018667355
OceanDNA-b35630,197,842546,4947,31.6,66.48,1.92,OceanDNA,1243034,948,694644,732.75,31.94,82.45,0,1,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__GCA-2698665;s__
OceanDNA-b35635,56,945944,26053,31.2,77.81,0.19,NCBI_OMD_OceanDNA,1213400,1048,896808,855.73,31.39,94.81,0,1,2,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__GCA-2698665;s__GCA-2698665 sp002698665
OceanDNA-b35647,75,924752,18656,30.66,73.13,2.3,OMD_OceanDNA,1235447,1010,842821,834.48,30.89,91.14,0,0,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__GCA-2701705;s__
OceanDNA-b35657,48,948495,27207,29.73,78.16,0,our_OMD_OceanDNA,1213530,1047,890605,850.63,29.9,93.9,0,0,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__GCA-2718845;s__GCA-2718845 sp002718845
OceanDNA-b35667,123,823509,9737,33.23,62.57,0.02,OMD_OceanDNA,1315877,915,731505,799.46,33.41,88.83,0,0,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__GCA-2720195;s__
OceanDNA-b35668,168,882603,6743,32.88,74.43,0.86,NCBI_OMD_OceanDNA,1175618,959,755485,787.78,33.09,85.6,0,1,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__GCA-2720195;s__GCA-2720195 sp902632305
OceanDNA-b35712,482,3014006,8289,50.86,94,1.52,our_OceanDNA,3157652,2934,2487076,847.67,51.47,82.52,0,0,0,2,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCF-002020875;f__GCF-002020875;g__Thiopontia;s__Thiopontia sp018648825
OceanDNA-b35751,202,2914835,27643,49.01,100,0,our_OceanDNA,2914835,2783,2558032,919.16,49.83,87.76,0,3,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCF-002020875;f__GCF-002020875;g__Thiopontia;s__Thiopontia sp013349825
OceanDNA-b35769,182,2561986,22678,44.58,95.16,0.59,OceanDNA,2676408,2530,2257738,892.39,45.06,88.12,0,3,2,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-2400775;f__GCA-2400775;g__;s__
OceanDNA-b35781,124,2237599,50624,43.91,89.19,0.12,OceanDNA,2505790,2156,1954292,906.44,44.4,87.34,0,3,2,0,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-2400775;f__GCA-2400775;g__;s__
OceanDNA-b35789,96,2201987,32233,56.42,77.41,4.34,our_OceanDNA,2721122,2092,1945287,929.87,56.8,88.34,0,4,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__;s__
OceanDNA-b35791,370,2123085,7270,54.9,78.76,2.79,OceanDNA,2620430,2008,1752261,872.64,55.33,82.53,0,1,0,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__;s__
OceanDNA-b35793,382,2394690,8280,59.2,88.54,1.81,OceanDNA,2655688,2286,1985954,868.75,60.66,82.93,0,4,1,2,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__
OceanDNA-b35796,430,2646088,7767,53.77,82.82,2.61,OMD_OceanDNA,3111598,2567,2189541,852.96,54.1,82.75,0,2,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA7966;f__UBA7966;g__;s__
OceanDNA-b35802,208,4899591,43196,67.84,88.47,2.19,OceanDNA,5416853,4390,4334683,987.4,67.77,88.47,0,10,2,0,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__
OceanDNA-b35803,212,3227032,24358,58.21,91.49,2.79,our_OceanDNA,3428788,3199,2789300,871.93,58.82,86.44,0,6,2,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__JADJYF01;s__
OceanDNA-b35808,1007,3637356,3922,49.29,79.03,2.13,OceanDNA,4504467,3354,2696577,803.99,49.7,74.14,1,4,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA11873;s__
OceanDNA-b35810,369,3591754,12202,57.17,78.83,2.87,OceanDNA,4425562,3612,3147190,871.32,57.38,87.62,0,6,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA981;s__
OceanDNA-b35812,570,3272572,7135,57.62,88.44,3.31,OMD_OceanDNA,3577849,3559,2728142,766.55,57.79,83.36,0,3,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA981;s__
OceanDNA-b35813,764,3546309,5709,60.81,85.08,1.81,OceanDNA,4092761,3487,2807811,805.22,60.82,79.18,0,5,2,0,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__Ga0077536;s__
OceanDNA-b35836,284,2059362,9732,43.73,89.33,2.33,our_OMD_OceanDNA,2251628,1993,1729715,867.9,44.26,83.99,0,3,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA4457;s__UBA4457 sp018668255
OceanDNA-b35846,77,2081222,36147,44.09,93.72,0.11,our_OceanDNA,2218238,2043,1873834,917.2,44.64,90.04,0,3,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA4457;s__
OceanDNA-b35847,392,1881777,5640,43.56,78.18,2.91,OceanDNA,2336937,1783,1518288,851.54,44.1,80.68,0,3,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA4457;s__
OceanDNA-b35857,89,2093789,43580,43.62,88.2,1.63,our_OMD_OceanDNA,2335216,2031,1878730,925.03,44.15,89.73,0,3,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA4457;s__UBA4457 sp002390205
OceanDNA-b35863,30,4496282,238598,56.95,96.83,3.04,our_OceanDNA,4502319,4264,3980450,933.5,57.1,88.53,2,6,3,0,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA981;s__UBA981 sp002292285
OceanDNA-b35874,138,1347142,12048,41.82,75.25,1.22,OMD_OceanDNA,1768381,1325,1182056,892.12,42.28,87.75,0,2,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__CACJXQ01;f__CACJXQ01;g__CACJXQ01;s__
OceanDNA-b35875,380,1208244,3494,37.93,67.97,0.65,OMD_OceanDNA,1766059,1200,920757,767.3,38.31,76.21,0,4,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536_A;f__Ga0077536_A;g__TMED69;s__
OceanDNA-b35879,463,1438329,3953,37.9,78.49,2.06,OMD_OceanDNA,1794750,1397,1088126,778.9,38.19,75.65,0,3,0,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536_A;f__Ga0077536_A;g__TMED69;s__
OceanDNA-b35881,683,1226878,1854,38.01,66.91,1.68,OMD_OceanDNA,1802819,1172,757547,646.37,38.35,61.75,0,1,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536_A;f__Ga0077536_A;g__TMED69;s__
OceanDNA-b35889,295,1106828,4224,58.63,77.2,2.05,OceanDNA,1404324,1323,922463,697.25,59.08,83.34,0,1,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SURF-13;f__SURF-13;g__SURF-13;s__
OceanDNA-b35890,371,4904159,17349,69.66,79.71,3.41,OceanDNA,5942701,4363,4190956,960.57,69.64,85.46,0,3,3,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Granulosicoccales;f__Granulosicoccaceae;g__Granulosicoccus;s__
OceanDNA-b35892,728,5161394,8789,61.99,86.6,7,OceanDNA,5542837,5038,4391768,871.73,62.02,85.09,0,6,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__HK1;f__HK1;g__;s__
OceanDNA-b35893,496,4505015,14056,58.58,89.77,5.75,OMD_OceanDNA,4729839,4592,3898770,849.04,58.78,86.54,0,3,2,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__HK1;f__HK1;g__;s__
OceanDNA-b35898,823,2916367,4066,60.74,56.36,0,OMD_OceanDNA,5174533,3016,2357318,781.6,60.85,80.83,0,1,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__HK1;f__HK1;g__;s__
OceanDNA-b35899,551,2682345,5497,46.67,74.36,3.19,OMD_OceanDNA,3492171,2466,2125988,862.12,47.09,79.26,0,3,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__HK1;f__HK1;g__;s__
OceanDNA-b35901,332,2340747,9970,47.5,89.94,1.96,OceanDNA,2551555,2109,1940217,919.97,47.99,82.89,0,2,2,2,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__HTCC5015;f__HTCC5015;g__;s__
OceanDNA-b35916,85,3058127,66222,67.06,97.56,1.22,our_OceanDNA,3096369,2848,2768966,972.25,67.27,90.54,0,5,0,1,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Immundisolibacterales;f__Immundisolibacteraceae;g__Immundisolibacter;s__
OceanDNA-b35935,103,3213714,51380,68.4,97.56,1.22,our_OceanDNA,3253902,3060,2924927,955.86,68.6,91.01,0,5,2,1,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Immundisolibacterales;f__Immundisolibacteraceae;g__Immundisolibacter;s__
OceanDNA-b35943,678,2735712,5452,38.35,92.56,1.76,OMD_OceanDNA,2903591,2427,1995434,822.18,39,72.94,0,6,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__;s__
OceanDNA-b35944,656,2238157,4546,30.74,83.56,1.52,OceanDNA,2637790,2124,1618040,761.79,31.51,72.29,0,1,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PIVX01;f__PIVX01;g__PIVX01;s__PIVX01 sp013215905
OceanDNA-b35948,180,1746115,17062,41.1,93.6,0.58,our_OceanDNA,1854688,1635,1502009,918.66,41.57,86.02,0,3,2,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__JAALKW01;s__
OceanDNA-b35950,1051,2469463,2641,41.23,81.96,2.16,OMD_OceanDNA,2947929,2134,1592593,746.29,41.83,64.49,0,7,1,0,2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella_B;s__
OceanDNA-b35964,408,1529965,4183,43.16,80.44,3.12,OceanDNA,1842653,1379,1148662,832.97,43.64,75.08,0,3,2,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella_A;s__
OceanDNA-b35990,554,2238941,4682,43.14,83.21,1.02,OceanDNA,2663266,2200,1707177,775.99,44.12,76.25,0,4,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__;s__
OceanDNA-b35991,506,2301702,5292,39.44,92.17,1.96,OceanDNA,2448290,2160,1813894,839.77,40.37,78.81,0,4,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__KS41;s__KS41 sp903939355
OceanDNA-b36006,275,1716075,8933,42.26,94.63,1.48,our_OceanDNA,1786619,1711,1377304,804.97,42.93,80.26,0,2,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__OPU3-GD-OMZ;s__OPU3-GD-OMZ sp012959905
OceanDNA-b36040,182,1977723,18691,42.05,97.47,0.48,our_OceanDNA,2019319,1931,1667232,863.4,42.83,84.3,0,2,1,0,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__OPU3-GD-OMZ;s__OPU3-GD-OMZ sp001901525
OceanDNA-b36071,70,3086851,65079,60.8,98.01,0.36,OceanDNA,3138188,2852,2822424,989.63,61.31,91.43,0,7,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__OUC007;g__;s__
OceanDNA-b36072,970,1903955,2150,54.72,63.32,1.84,OceanDNA,2951551,2317,1389114,599.53,55.13,72.96,0,4,2,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__;g__;s__
OceanDNA-b36082,282,3117754,20612,60.47,96.67,1.68,our_OceanDNA,3170969,2994,2782313,929.3,60.62,89.24,1,1,2,0,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Stagnimonas;s__
OceanDNA-b36083,754,2675992,3947,63.97,74.2,1.94,OceanDNA,3536493,2764,2137540,773.35,64.04,79.88,0,2,2,1,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__;s__
OceanDNA-b36099,1137,2407616,2329,66.81,70.45,2.4,OceanDNA,3335462,2521,1700001,674.34,67.04,70.61,0,1,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Solimonas_A;s__
OceanDNA-b36139,651,2488693,4844,63.69,73.74,0,OceanDNA,3374957,2419,2069176,855.38,63.78,83.14,0,2,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__MS8;s__
OceanDNA-b36148,313,3202112,14982,60.36,94.95,0.97,our_OceanDNA,3339707,3098,2912578,940.15,60.61,90.96,0,3,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__Oceanococcus;s__
OceanDNA-b36152,401,2992406,10690,68.66,89.58,1.36,our_OceanDNA,3295054,2832,2516911,888.74,69.34,84.11,0,2,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__;s__
OceanDNA-b36153,904,2816703,3854,54.23,86.82,3.73,OceanDNA,3123290,2756,2050846,744.14,54.78,72.81,0,5,1,0,2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__;s__
OceanDNA-b36164,181,3544633,29928,63.68,93.59,3.55,OMD_OceanDNA,3652953,3233,3084579,954.09,64.09,87.02,0,7,3,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salinisphaera;s__Salinisphaera sp002433465
OceanDNA-b36167,532,2265097,4946,41.25,89.4,5.89,OceanDNA,2384433,2236,1741869,779.01,41.68,76.9,1,3,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__41-12-T18;s__
OceanDNA-b36170,137,1255852,46761,34.43,69.63,0.18,OceanDNA,1800361,1065,811274,761.76,37.14,64.6,0,0,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__41-12-T18;s__41-12-T18 sp013215805
OceanDNA-b36186,98,1418579,24202,40.3,93.08,1.83,our_OMD_OceanDNA,1496153,1428,1248829,874.53,40.95,88.03,0,5,0,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__GCA-002733105;s__GCA-002733105 sp905181885
OceanDNA-b36208,56,1720311,51621,42.4,96.41,0.64,our_OceanDNA,1772950,1904,1513918,795.12,43.03,88,0,4,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__GCA-002733105;s__
OceanDNA-b36266,207,1779239,12923,42.35,93.5,1.46,our_OceanDNA,1875147,1857,1531312,824.62,42.84,86.07,1,3,2,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__GCA-002733105;s__
OceanDNA-b36287,464,1835478,4514,40.32,83.36,1.96,OceanDNA,2158712,1869,1409078,753.92,40.73,76.77,1,3,2,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__GCA-002733105;s__GCA-002733105 sp013215775
OceanDNA-b36289,11,2564989,337620,41.31,82.76,0,OMD_OceanDNA,3099310,2496,2343981,939.09,41.91,91.38,1,6,3,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__GCA-002733105;s__
OceanDNA-b36297,472,1898049,4548,39.66,78.13,2.51,OceanDNA,2368371,1811,1385928,765.28,40.41,73.02,0,7,2,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__GCA-002733105;s__
OceanDNA-b36302,60,2282933,76483,39.94,97.07,0.37,our_OceanDNA,2343140,2268,2051689,904.62,40.39,89.87,1,3,2,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__GCA-002733105;s__GCA-002733105 sp013215825
OceanDNA-b36303,830,1583152,1984,52.78,64.98,1.81,OceanDNA,2392270,1867,1093560,585.73,53.26,69.07,1,2,0,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Methylophaga;s__
OceanDNA-b36306,324,2236791,8935,46.42,90.02,2.44,OceanDNA,2424143,2205,1910972,866.65,46.86,85.43,1,5,4,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Methylophaga;s__
OceanDNA-b36351,24,3066525,331566,44.85,100,0.47,our_OMD_OceanDNA,3052112,2999,2797072,932.67,45.46,91.21,1,5,4,0,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Methylophaga;s__Methylophaga sp002696735
OceanDNA-b36401,274,5581013,34426,43.6,95.4,2.44,OceanDNA,5707376,4841,4678704,966.47,44.24,83.83,0,10,4,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__DT-91;g__DT-91;s__DT-91 sp013215055
OceanDNA-b36402,173,2284771,20713,50.65,91.85,2.3,OceanDNA,2430290,2103,2038136,969.16,51.07,89.21,1,1,2,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__DSM-100316;g__Sinobacterium;s__
OceanDNA-b36405,565,1997006,3910,46.34,80.58,3.55,OceanDNA,2390311,1798,1449429,806.13,46.96,72.58,0,6,2,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__DT-91;g__DT-91;s__DT-91 sp013215025
OceanDNA-b36406,833,4553401,7647,47.81,85.15,2.8,OceanDNA,5197775,4003,3407894,851.33,48.74,74.84,0,8,2,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__DT-91;g__DT-91;s__
OceanDNA-b36411,658,3358842,8047,59.09,94.59,4.45,OceanDNA,3392931,3273,2781734,849.9,59.77,82.82,0,2,5,0,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__
OceanDNA-b36417,98,3695774,154358,63.63,98.14,0.19,our_OceanDNA,3758663,3432,3278494,955.27,64.26,88.71,0,3,6,1,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__
OceanDNA-b36456,41,3787854,165439,58.3,100,0.37,our_NCBI_OMD_OceanDNA,3773839,3451,3355820,972.42,58.93,88.59,0,3,6,0,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax sp000155615
OceanDNA-b36473,159,4325191,53816,65.88,98.88,0.56,our_OMD_OceanDNA,4349686,4062,3873233,953.53,66.57,89.55,0,4,7,2,3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax profundimaris
OceanDNA-b36533,58,3491231,127941,64.84,100,0,our_OMD_OceanDNA,3491231,3260,3156952,968.39,65.59,90.43,0,3,6,1,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax venustensis
OceanDNA-b36585,28,3564839,201110,58.03,96.42,0.37,our_OMD_OceanDNA,3683519,3273,3179759,971.51,58.63,89.2,0,4,6,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax sp002726155
OceanDNA-b36587,101,3168661,44322,58.45,93.53,0.56,our_OceanDNA,3368883,2968,2792708,940.94,59.08,88.14,0,3,3,0,3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax sp002733835
OceanDNA-b36635,20,3110610,347047,56.61,99.63,0,our_OMD_OceanDNA,3122162,2945,2898889,984.34,56.8,93.19,0,3,3,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__PGZG01;s__
OceanDNA-b36642,129,3104132,40965,58.6,97.02,1.27,OceanDNA,3158843,2932,2827758,964.45,58.81,91.1,0,3,2,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__PGZG01;s__
OceanDNA-b36644,630,2250168,3996,61.01,75.23,2.78,OceanDNA,2907900,2338,1800682,770.18,61.37,80.02,0,2,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__PGZG01;s__
OceanDNA-b36646,224,3181578,20370,61.79,98.61,1.82,OceanDNA,3167704,3008,2841734,944.73,62.05,89.32,0,2,3,0,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__;s__
OceanDNA-b36647,400,2849069,9006,47.4,88.58,0.79,OceanDNA,3190970,2242,2140086,954.54,48.18,75.12,0,3,3,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__;s__
OceanDNA-b36648,323,2563721,8917,48.13,89.84,0.67,OceanDNA,2834533,2065,2033687,984.84,48.68,79.33,0,2,1,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__;s__
